train_mae_step,train_mse_step,train_pearson_r_step,train_r2_step,train_loss_step,epoch,step,val_mae,val_mse,val_pearson_r,val_r2,val_loss,train_mae,train_mse,train_pearson_r,train_r2,train_loss,test_kendall_tau,test_mae,test_mse,test_pearson_r,test_r2,test_loss
0.7533365488052368,0.9342755079269409,0.25968995690345764,0.04953652620315552,0.9342755079269409,0,49,,,,,,,,,,,,,,,,
0.770457923412323,0.9198914766311646,0.3689567446708679,0.0678742527961731,0.9198914766311646,0,99,,,,,,,,,,,,,,,,
0.7222886085510254,0.78310626745224,0.43822339177131653,0.16409993171691895,0.78310626745224,0,149,,,,,,,,,,,,,,,,
0.6926803588867188,0.7560542821884155,0.559897780418396,0.30399829149246216,0.7560542821884155,0,199,,,,,,,,,,,,,,,,
0.6891111731529236,0.7308782339096069,0.569441556930542,0.291858971118927,0.7308782339096069,0,249,,,,,,,,,,,,,,,,
0.6943634152412415,0.7360876202583313,0.6687257289886475,0.3816567063331604,0.7360876202583313,0,299,,,,,,,,,,,,,,,,
0.5302984118461609,0.49634090065956116,0.6751434206962585,0.4542137384414673,0.49634090065956116,0,349,,,,,,,,,,,,,,,,
,,,,,0,351,0.6188552975654602,0.6327655911445618,0.683504045009613,0.38772958517074585,0.632767379283905,,,,,,,,,,,
,,,,,0,351,,,,,,0.7351237535476685,0.8979238867759705,0.389059841632843,0.12860631942749023,0.8977475166320801,,,,,,
0.5498216152191162,0.5115065574645996,0.7363501191139221,0.4563295841217041,0.5115065574645996,1,399,,,,,,,,,,,,,,,,
0.5335168838500977,0.49894246459007263,0.6938840746879578,0.47919219732284546,0.49894246459007263,1,449,,,,,,,,,,,,,,,,
0.5456137657165527,0.48433390259742737,0.7683574557304382,0.5560352802276611,0.48433390259742737,1,499,,,,,,,,,,,,,,,,
0.5045267939567566,0.4150853455066681,0.7977296113967896,0.6231505274772644,0.4150853455066681,1,549,,,,,,,,,,,,,,,,
0.49373459815979004,0.41828659176826477,0.7926492691040039,0.620498776435852,0.41828659176826477,1,599,,,,,,,,,,,,,,,,
0.5200983285903931,0.4198618531227112,0.8337022662162781,0.5946652293205261,0.4198618531227112,1,649,,,,,,,,,,,,,,,,
0.5651988983154297,0.49335378408432007,0.7497936487197876,0.5170183181762695,0.49335378408432007,1,699,,,,,,,,,,,,,,,,
,,,,,1,703,0.5489943623542786,0.49198633432388306,0.7885432839393616,0.5239490270614624,0.49199607968330383,,,,,,,,,,,
,,,,,1,703,,,,,,0.5470322966575623,0.4939765930175781,0.7215859889984131,0.5206186771392822,0.4939872622489929,,,,,,
0.5067949295043945,0.40683692693710327,0.7699757814407349,0.5392515659332275,0.40683692693710327,2,749,,,,,,,,,,,,,,,,
0.5438984632492065,0.46501827239990234,0.8201807141304016,0.5965404510498047,0.46501827239990234,2,799,,,,,,,,,,,,,,,,
0.45580363273620605,0.32571637630462646,0.7798860669136047,0.5901249647140503,0.32571637630462646,2,849,,,,,,,,,,,,,,,,
0.4254850447177887,0.3113650679588318,0.8546638488769531,0.7095324993133545,0.3113650679588318,2,899,,,,,,,,,,,,,,,,
0.4379984736442566,0.33493003249168396,0.8140421509742737,0.6625782251358032,0.33493003249168396,2,949,,,,,,,,,,,,,,,,
0.45577141642570496,0.34991347789764404,0.8139801025390625,0.6548206806182861,0.34991347789764404,2,999,,,,,,,,,,,,,,,,
0.43413251638412476,0.30094456672668457,0.8626316785812378,0.6980423927307129,0.30094456672668457,2,1049,,,,,,,,,,,,,,,,
,,,,,2,1055,0.438198983669281,0.3203752040863037,0.8336213231086731,0.6900017261505127,0.3203979432582855,,,,,,,,,,,
,,,,,2,1055,,,,,,0.4777122139930725,0.3822328448295593,0.7931749224662781,0.6290603280067444,0.3822081387042999,,,,,,
0.4433172345161438,0.3270924687385559,0.8598381280899048,0.7300436496734619,0.3270924687385559,3,1099,,,,,,,,,,,,,,,,
0.46653473377227783,0.5245320796966553,0.7670235633850098,0.581917405128479,0.5245320796966553,3,1149,,,,,,,,,,,,,,,,
0.4750038981437683,0.3311617374420166,0.8439834713935852,0.7013945579528809,0.3311617374420166,3,1199,,,,,,,,,,,,,,,,
0.4255613386631012,0.2891658842563629,0.8345882296562195,0.6903905868530273,0.2891658842563629,3,1249,,,,,,,,,,,,,,,,
0.4865535497665405,0.3694826364517212,0.8326852917671204,0.688190221786499,0.3694826364517212,3,1299,,,,,,,,,,,,,,,,
0.40323585271835327,0.28021442890167236,0.8405662775039673,0.7058738470077515,0.28021442890167236,3,1349,,,,,,,,,,,,,,,,
0.38006794452667236,0.2339402735233307,0.8707343935966492,0.7580629587173462,0.2339402735233307,3,1399,,,,,,,,,,,,,,,,
,,,,,3,1407,0.4252207577228546,0.29939916729927063,0.8476868867874146,0.7102982997894287,0.29941585659980774,,,,,,,,,,,
,,,,,3,1407,,,,,,0.4358638823032379,0.31678929924964905,0.8322301506996155,0.692570686340332,0.3168039321899414,,,,,,
0.386974036693573,0.23950129747390747,0.8441457152366638,0.7054587602615356,0.23950129747390747,4,1449,,,,,,,,,,,,,,,,
0.3584689497947693,0.22140762209892273,0.8838412761688232,0.7810614109039307,0.22140762209892273,4,1499,,,,,,,,,,,,,,,,
0.42992907762527466,0.3010152578353882,0.8563064336776733,0.7110896110534668,0.3010152578353882,4,1549,,,,,,,,,,,,,,,,
0.38805848360061646,0.22905883193016052,0.8891716599464417,0.7749378085136414,0.22905883193016052,4,1599,,,,,,,,,,,,,,,,
0.41019904613494873,0.275384783744812,0.8362519145011902,0.6984829306602478,0.275384783744812,4,1649,,,,,,,,,,,,,,,,
0.3841559588909149,0.24592207372188568,0.8769571185112,0.7639150619506836,0.24592207372188568,4,1699,,,,,,,,,,,,,,,,
0.39862409234046936,0.25995495915412903,0.87052983045578,0.7563351988792419,0.25995495915412903,4,1749,,,,,,,,,,,,,,,,
,,,,,4,1759,0.393673300743103,0.25885435938835144,0.8680322170257568,0.7495298981666565,0.2588585615158081,,,,,,,,,,,
,,,,,4,1759,,,,,,0.41276779770851135,0.2834378778934479,0.8514582514762878,0.7249367237091064,0.28348371386528015,,,,,,
0.3878268301486969,0.2620510458946228,0.8551338315010071,0.7244685888290405,0.2620510458946228,5,1799,,,,,,,,,,,,,,,,
0.48114264011383057,0.43392398953437805,0.8353232145309448,0.6488500833511353,0.43392398953437805,5,1849,,,,,,,,,,,,,,,,
0.40220415592193604,0.2474360316991806,0.8917497396469116,0.7942890524864197,0.2474360316991806,5,1899,,,,,,,,,,,,,,,,
0.4680083990097046,0.3538820445537567,0.8374945521354675,0.6481776833534241,0.3538820445537567,5,1949,,,,,,,,,,,,,,,,
0.3619328737258911,0.2190445065498352,0.8806565999984741,0.7718697786331177,0.2190445065498352,5,1999,,,,,,,,,,,,,,,,
0.43533384799957275,0.296123743057251,0.8496236205101013,0.6504528522491455,0.296123743057251,5,2049,,,,,,,,,,,,,,,,
0.35935962200164795,0.23239269852638245,0.8711377382278442,0.7566442489624023,0.23239269852638245,5,2099,,,,,,,,,,,,,,,,
,,,,,5,2111,0.38263291120529175,0.24379529058933258,0.8743100762367249,0.7641012072563171,0.2438001036643982,,,,,,,,,,,
,,,,,5,2111,,,,,,0.404502809047699,0.27336323261260986,0.8571913838386536,0.7347131967544556,0.27337339520454407,,,,,,
0.4239906668663025,0.2899755537509918,0.879942774772644,0.7069597244262695,0.2899755537509918,6,2149,,,,,,,,,,,,,,,,
0.3828773498535156,0.21822288632392883,0.9044784903526306,0.7811500430107117,0.21822288632392883,6,2199,,,,,,,,,,,,,,,,
0.3356076776981354,0.17797477543354034,0.8960937857627869,0.8018289804458618,0.17797477543354034,6,2249,,,,,,,,,,,,,,,,
0.38819700479507446,0.2545589208602905,0.8938798904418945,0.7707692980766296,0.2545589208602905,6,2299,,,,,,,,,,,,,,,,
0.4588243067264557,0.33290183544158936,0.8465637564659119,0.6530357003211975,0.33290183544158936,6,2349,,,,,,,,,,,,,,,,
