train_accuracy_step,train_auroc_step,train_f1score_step,train_loss_step,epoch,step,val_accuracy,val_auroc,val_f1score,val_loss,train_accuracy,train_auroc,train_f1score,train_loss
0.5859375,0.6426674127578735,0.7180851101875305,0.6741216778755188,0,49,,,,,,,,
0.62109375,0.6043983697891235,0.7327823638916016,0.6720962524414062,0,99,,,,,,,,
0.54296875,0.5716727375984192,0.5224489569664001,0.6841537952423096,0,149,,,,,,,,
,,,,0,173,0.5966900587081909,0.6369956731796265,0.6808995008468628,0.6658662557601929,,,,
,,,,0,173,,,,,0.545654833316803,0.563125491142273,0.6392959952354431,0.7644403576850891
0.5234375,0.7174603343009949,0.66847825050354,0.6772213578224182,1,199,,,,,,,,
0.66015625,0.7182389497756958,0.7507163286209106,0.6243929862976074,1,249,,,,,,,,
0.5703125,0.667644739151001,0.6857143044471741,0.6669333577156067,1,299,,,,,,,,
,,,,1,347,0.6150386929512024,0.6878031492233276,0.7023643851280212,0.6455073952674866,,,,
,,,,1,347,,,,,0.5931872129440308,0.6398642659187317,0.6814332008361816,0.662705659866333
0.62109375,0.6745637655258179,0.613545835018158,0.6550109386444092,2,349,,,,,,,,
0.65625,0.7744122743606567,0.7317073345184326,0.6144024729728699,2,399,,,,,,,,
0.67578125,0.6808058023452759,0.7296416759490967,0.6458576321601868,2,449,,,,,,,,
0.671875,0.7424665689468384,0.7599999904632568,0.6078494787216187,2,499,,,,,,,,
,,,,2,521,0.6425616145133972,0.7025221586227417,0.708266019821167,0.6335606575012207,,,,
,,,,2,521,,,,,0.6176503896713257,0.6739339828491211,0.6900235414505005,0.6466735005378723
0.69921875,0.7284784913063049,0.7570977807044983,0.6134411692619324,3,549,,,,,,,,
0.59765625,0.70346599817276,0.6888217329978943,0.667445719242096,3,599,,,,,,,,
0.6953125,0.7544950842857361,0.6929134130477905,0.6106985211372375,3,649,,,,,,,,
,,,,3,695,0.6251124143600464,0.7275328636169434,0.7197418212890625,0.6322606205940247,,,,
,,,,3,695,,,,,0.6288251876831055,0.6830383539199829,0.6929658055305481,0.6409662961959839
0.6796875,0.765110969543457,0.7371794581413269,0.6100332736968994,4,699,,,,,,,,
0.625,0.6693739891052246,0.6734693646430969,0.6428213715553284,4,749,,,,,,,,
0.6328125,0.7217881679534912,0.6299212574958801,0.6326892375946045,4,799,,,,,,,,
0.58203125,0.6456654071807861,0.540772557258606,0.6733468770980835,4,849,,,,,,,,
,,,,4,869,0.6636085510253906,0.7245402336120605,0.6984843611717224,0.6183048486709595,,,,
,,,,4,869,,,,,0.6398200988769531,0.7021802663803101,0.6985226273536682,0.6309410333633423
0.59765625,0.6804639101028442,0.6385964751243591,0.6381246447563171,5,899,,,,,,,,
0.62890625,0.7236453294754028,0.7397260069847107,0.6469758749008179,5,949,,,,,,,,
0.68359375,0.7522833347320557,0.7567567825317383,0.5976964235305786,5,999,,,,,,,,
,,,,5,1043,0.6722432374954224,0.7400037050247192,0.7169928550720215,0.6007040739059448,,,,
,,,,5,1043,,,,,0.656908392906189,0.7181734442710876,0.7085251212120056,0.6194177865982056
0.6640625,0.7432713508605957,0.7152317762374878,0.6110231876373291,6,1049,,,,,,,,
0.6640625,0.7917582392692566,0.7261146306991577,0.5828701853752136,6,1099,,,,,,,,
0.63671875,0.7190860509872437,0.6804123520851135,0.6130940914154053,6,1149,,,,,,,,
0.6484375,0.7283134460449219,0.6853147149085999,0.6209754347801208,6,1199,,,,,,,,
,,,,6,1217,0.6601907014846802,0.747743546962738,0.7253162860870361,0.6047037839889526,,,,
,,,,6,1217,,,,,0.6681281328201294,0.7332847714424133,0.713853657245636,0.6083167791366577
0.609375,0.701570987701416,0.7023809552192688,0.6445834636688232,7,1249,,,,,,,,
0.6015625,0.7047898769378662,0.675159215927124,0.6536084413528442,7,1299,,,,,,,,
0.67578125,0.7607540488243103,0.7430340647697449,0.5743371248245239,7,1349,,,,,,,,
,,,,7,1391,0.6754812002182007,0.7536711096763611,0.7294541001319885,0.5932578444480896,,,,
,,,,7,1391,,,,,0.6743338704109192,0.7402297854423523,0.7180455327033997,0.6031951308250427
0.61328125,0.7037172913551331,0.6915887594223022,0.6659584641456604,8,1399,,,,,,,,
0.71484375,0.7721769213676453,0.7767584323883057,0.5743550062179565,8,1449,,,,,,,,
0.68359375,0.7635419964790344,0.7197231650352478,0.589881181716919,8,1499,,,,,,,,
0.625,0.7235383987426758,0.698113203048706,0.6182999610900879,8,1549,,,,,,,,
,,,,8,1565,0.6875337362289429,0.7587578296661377,0.7283815741539001,0.5907508730888367,,,,
,,,,8,1565,,,,,0.675075888633728,0.7373411655426025,0.7171074748039246,0.6044665575027466
