train_mae_step,train_mse_step,train_pearson_r_step,train_r2_step,train_loss_step,epoch,step,val_mae,val_mse,val_pearson_r,val_r2,val_loss,train_mae,train_mse,train_pearson_r,train_r2,train_loss,test_kendall_tau,test_mae,test_mse,test_pearson_r,test_r2,test_loss
1.7540271282196045,5.066537857055664,0.99342942237854,0.9858505129814148,5.066537857055664,1,699,,,,,,,,,,,,,,,,
,,,,,1,703,1.6573668718338013,4.864934921264648,0.9940695762634277,0.9877622127532959,4.865007400512695,,,,,,,,,,,
,,,,,1,703,,,,,,1.6961171627044678,5.487240314483643,0.9930048584938049,0.9859662652015686,5.487205982208252,,,,,,
1.4975943565368652,4.34245491027832,0.9938547611236572,0.9875269532203674,4.34245491027832,2,749,,,,,,,,,,,,,,,,
1.6672899723052979,4.812523365020752,0.9933854341506958,0.9866836667060852,4.812523365020752,2,799,,,,,,,,,,,,,,,,
1.4160165786743164,3.378967761993408,0.995017945766449,0.9898298382759094,3.378967761993408,2,849,,,,,,,,,,,,,,,,
1.5353813171386719,3.8424108028411865,0.995734691619873,0.9909573793411255,3.8424108028411865,2,899,,,,,,,,,,,,,,,,
1.6324090957641602,4.597455024719238,0.9950227737426758,0.9896862506866455,4.597455024719238,2,949,,,,,,,,,,,,,,,,
1.6978759765625,5.0339741706848145,0.9949266314506531,0.9889888167381287,5.0339741706848145,2,999,,,,,,,,,,,,,,,,
1.5610301494598389,3.771239995956421,0.9943446516990662,0.9886889457702637,3.771239995956421,2,1049,,,,,,,,,,,,,,,,
,,,,,2,1055,1.6431394815444946,4.946778297424316,0.9943339228630066,0.9875563383102417,4.946774482727051,,,,,,,,,,,
,,,,,2,1055,,,,,,1.6026808023452759,4.933047771453857,0.9937140345573425,0.9873839020729065,4.933251857757568,,,,,,
1.6463196277618408,4.962169647216797,0.9936317205429077,0.9872950911521912,4.962169647216797,3,1099,,,,,,,,,,,,,,,,
1.466381311416626,3.7993738651275635,0.9952412843704224,0.990363597869873,3.7993738651275635,3,1149,,,,,,,,,,,,,,,,
1.5551583766937256,4.091300964355469,0.9948390126228333,0.9893613457679749,4.091300964355469,3,1199,,,,,,,,,,,,,,,,
1.5298503637313843,3.847014904022217,0.9944936633110046,0.988718569278717,3.847014904022217,3,1249,,,,,,,,,,,,,,,,
1.5444166660308838,3.9069924354553223,0.9959388375282288,0.991817057132721,3.9069924354553223,3,1299,,,,,,,,,,,,,,,,
1.5965204238891602,5.036063194274902,0.9938392043113708,0.9875535368919373,5.036063194274902,3,1349,,,,,,,,,,,,,,,,
1.4909785985946655,3.7147860527038574,0.9953970313072205,0.990523636341095,3.7147860527038574,3,1399,,,,,,,,,,,,,,,,
,,,,,3,1407,1.5600287914276123,4.415152072906494,0.9948472380638123,0.9888936281204224,4.4150567054748535,,,,,,,,,,,
,,,,,3,1407,,,,,,1.5546460151672363,4.656073570251465,0.9940592646598816,0.9880915880203247,4.655838966369629,,,,,,
1.4515455961227417,3.7198691368103027,0.9950674176216125,0.9899089336395264,3.7198691368103027,4,1449,,,,,,,,,,,,,,,,
1.760129690170288,5.517345428466797,0.9928210377693176,0.9842580556869507,5.517345428466797,4,1499,,,,,,,,,,,,,,,,
1.7239243984222412,11.119352340698242,0.9852527976036072,0.9699130654335022,11.119352340698242,4,1549,,,,,,,,,,,,,,,,
1.4469407796859741,3.9033608436584473,0.9952805042266846,0.9904417991638184,3.9033608436584473,4,1599,,,,,,,,,,,,,,,,
1.543399453163147,4.050501346588135,0.9955902695655823,0.9903180003166199,4.050501346588135,4,1649,,,,,,,,,,,,,,,,
1.438185214996338,3.715712547302246,0.9941220283508301,0.9881201386451721,3.715712547302246,4,1699,,,,,,,,,,,,,,,,
1.494484305381775,4.056116104125977,0.9953315854072571,0.9903059005737305,4.056116104125977,4,1749,,,,,,,,,,,,,,,,
,,,,,4,1759,1.484893560409546,3.9425644874572754,0.9951159954071045,0.9900824427604675,3.9424901008605957,,,,,,,,,,,
,,,,,4,1759,,,,,,1.5256261825561523,4.516820907592773,0.9942367076873779,0.9884483814239502,4.516773223876953,,,,,,
1.3715991973876953,3.0099148750305176,0.9962790012359619,0.9923424124717712,3.0099148750305176,5,1799,,,,,,,,,,,,,,,,
1.591980218887329,4.544022560119629,0.9940251708030701,0.9869885444641113,4.544022560119629,5,1849,,,,,,,,,,,,,,,,
1.5718846321105957,4.7163262367248535,0.9945036768913269,0.9877365231513977,4.7163262367248535,5,1899,,,,,,,,,,,,,,,,
1.4195427894592285,3.4922993183135986,0.9943014979362488,0.9886016845703125,3.4922993183135986,5,1949,,,,,,,,,,,,,,,,
1.4664138555526733,3.7522284984588623,0.9959776997566223,0.9919581413269043,3.7522284984588623,5,1999,,,,,,,,,,,,,,,,
1.547417163848877,3.80637788772583,0.9952370524406433,0.9890450239181519,3.80637788772583,5,2049,,,,,,,,,,,,,,,,
1.4511406421661377,4.056103706359863,0.995610773563385,0.9910709261894226,4.056103706359863,5,2099,,,,,,,,,,,,,,,,
,,,,,5,2111,1.4929161071777344,4.200125694274902,0.9947850704193115,0.989434540271759,4.200061798095703,,,,,,,,,,,
,,,,,5,2111,,,,,,1.5041258335113525,4.412031650543213,0.9943658113479614,0.9887162446975708,4.41188383102417,,,,,,
1.3197394609451294,3.2532644271850586,0.996372640132904,0.9927508234977722,3.2532644271850586,6,2149,,,,,,,,,,,,,,,,
1.6917976140975952,14.330313682556152,0.9810826778411865,0.9578357934951782,14.330313682556152,6,2199,,,,,,,,,,,,,,,,
1.4096181392669678,3.4880406856536865,0.9956372976303101,0.9906373620033264,3.4880406856536865,6,2249,,,,,,,,,,,,,,,,
1.4585331678390503,4.161702632904053,0.9950575828552246,0.9898082613945007,4.161702632904053,6,2299,,,,,,,,,,,,,,,,
1.4863331317901611,3.72582745552063,0.9951505064964294,0.9901118278503418,3.72582745552063,6,2349,,,,,,,,,,,,,,,,
1.4565433263778687,4.063142776489258,0.994964063167572,0.9887540340423584,4.063142776489258,6,2399,,,,,,,,,,,,,,,,
1.419511318206787,3.576787233352661,0.9960444569587708,0.991830587387085,3.576787233352661,6,2449,,,,,,,,,,,,,,,,
,,,,,6,2463,1.40801203250885,3.6951518058776855,0.9953964948654175,0.9907048344612122,3.6950490474700928,,,,,,,,,,,
,,,,,6,2463,,,,,,1.4726767539978027,4.254260063171387,0.9945608973503113,0.9891194105148315,4.2540082931518555,,,,,,
1.5607881546020508,4.610116958618164,0.9941136240959167,0.987637996673584,4.610116958618164,7,2499,,,,,,,,,,,,,,,,
1.5129737854003906,4.698154926300049,0.9932108521461487,0.9863629937171936,4.698154926300049,7,2549,,,,,,,,,,,,,,,,
1.4219989776611328,3.984881639480591,0.9952810406684875,0.9905242323875427,3.984881639480591,7,2599,,,,,,,,,,,,,,,,
1.4157042503356934,3.6019744873046875,0.9958003163337708,0.9916186928749084,3.6019744873046875,7,2649,,,,,,,,,,,,,,,,
1.303823709487915,3.0035431385040283,0.9955207705497742,0.9910579323768616,3.0035431385040283,7,2699,,,,,,,,,,,,,,,,
1.3778984546661377,3.4485185146331787,0.9948365688323975,0.9893625378608704,3.4485185146331787,7,2749,,,,,,,,,,,,,,,,
1.4396049976348877,3.603632688522339,0.9959332346916199,0.9912403225898743,3.603632688522339,7,2799,,,,,,,,,,,,,,,,
,,,,,7,2815,1.3813984394073486,3.530569314956665,0.9955497980117798,0.991118848323822,3.5304641723632812,,,,,,,,,,,
,,,,,7,2815,,,,,,1.4362086057662964,4.088019847869873,0.9947712421417236,0.9895446300506592,4.087881565093994,,,,,,
1.7396519184112549,23.63964080810547,0.972172200679779,0.9383280277252197,23.63964080810547,8,2849,,,,,,,,,,,,,,,,
1.4733548164367676,3.710522174835205,0.9956604242324829,0.9898467063903809,3.710522174835205,8,2899,,,,,,,,,,,,,,,,
1.382075548171997,3.4364261627197266,0.9953196048736572,0.9904628396034241,3.4364261627197266,8,2949,,,,,,,,,,,,,,,,
1.6266206502914429,4.6076226234436035,0.9953411221504211,0.9890720844268799,4.6076226234436035,8,2999,,,,,,,,,,,,,,,,
1.476740837097168,3.965819835662842,0.9944432377815247,0.9888125061988831,3.965819835662842,8,3049,,,,,,,,,,,,,,,,
1.4012131690979004,3.5578553676605225,0.9959046840667725,0.9915797710418701,3.5578553676605225,8,3099,,,,,,,,,,,,,,,,
1.7494332790374756,4.8637895584106445,0.99595046043396,0.9874008297920227,4.8637895584106445,8,3149,,,,,,,,,,,,,,,,
,,,,,8,3167,1.6648752689361572,4.797919750213623,0.995564341545105,0.9879307746887207,4.797829627990723,,,,,,,,,,,
,,,,,8,3167,,,,,,1.479715347290039,4.263430595397949,0.9945469498634338,0.9890959858894348,4.2628045082092285,,,,,,
1.3021163940429688,3.156832218170166,0.9963246583938599,0.9922571182250977,3.156832218170166,9,3199,,,,,,,,,,,,,,,,
1.5665897130966187,4.427534103393555,0.9954913854598999,0.9909413456916809,4.427534103393555,9,3249,,,,,,,,,,,,,,,,
1.422821283340454,3.179053544998169,0.9965605139732361,0.9927665591239929,3.179053544998169,9,3299,,,,,,,,,,,,,,,,
1.3083641529083252,3.4788167476654053,0.995239794254303,0.9903945922851562,3.4788167476654053,9,3349,,,,,,,,,,,,,,,,
1.352804183959961,3.0563321113586426,0.9962249994277954,0.9921091794967651,3.0563321113586426,9,3399,,,,,,,,,,,,,,,,
1.3379364013671875,3.6176936626434326,0.9960318803787231,0.9920369386672974,3.6176936626434326,9,3449,,,,,,,,,,,,,,,,
1.4132139682769775,3.253375291824341,0.9967952966690063,0.9927957653999329,3.253375291824341,9,3499,,,,,,,,,,,,,,,,
